City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,Riberalta,-10.9833,-66.1,89.8,62,75,11.5,BO,2022-04-11 18:20:26
137,Horconcitos,8.4682,-81.8007,81.93,48,76,5.39,PA,2022-04-11 18:20:26
138,Road Town,18.4167,-64.6167,82.44,61,20,9.22,VG,2022-04-11 18:15:29
139,Kondinskoye,59.6481,67.41,36.21,97,100,8.32,RU,2022-04-11 18:20:27
140,Barrow,71.2906,-156.7887,19.42,79,20,10.36,US,2022-04-11 18:20:28
141,Antofagasta,-23.65,-70.4,66.69,69,18,9.4,CL,2022-04-11 18:19:12
142,Castro,-24.7911,-50.0119,74.39,70,88,7.83,BR,2022-04-11 18:20:28
143,Menongue,-14.6585,17.691,63.48,95,100,4.7,AO,2022-04-11 18:20:29
144,Mollendo,-17.0231,-72.0147,70.16,74,66,9.64,PE,2022-04-11 18:20:30
145,Peleduy,59.6289,112.7406,14.65,97,90,1.68,RU,2022-04-11 18:20:30
146,Alofi,-19.0595,-169.9187,71.49,94,40,1.14,NU,2022-04-11 18:20:31
147,Tungawan,7.5081,122.3711,78.03,86,98,6.55,PH,2022-04-11 18:20:31
148,Carnarvon,-24.8667,113.6333,64.47,77,40,10.36,AU,2022-04-11 18:20:32
149,Synya,65.3718,58.0387,38.34,98,100,10.11,RU,2022-04-11 18:20:32
150,Bengkulu,-3.8004,102.2655,76.28,87,54,3.94,ID,2022-04-11 18:20:33
151,Port Hardy,50.6996,-127.4199,46.58,39,20,11.5,CA,2022-04-11 18:20:35
152,Opole,50.5,18.0,44.4,64,73,0.89,PL,2022-04-11 18:20:35
153,Shar,49.5886,81.0453,37.54,74,15,5.91,KZ,2022-04-11 18:20:36
154,Niksar,40.5917,36.9517,54.59,83,81,4.07,TR,2022-04-11 18:20:36
155,Puerto Ayora,-0.7393,-90.3518,80.55,91,99,8.99,EC,2022-04-11 18:20:37
156,Zhigansk,66.7697,123.3711,0.77,96,60,9.82,RU,2022-04-11 18:20:38
157,Ionia,42.9873,-85.0711,62.62,39,0,18.41,US,2022-04-11 18:20:38
158,Mar Del Plata,-38.0023,-57.5575,68.02,89,75,20.0,AR,2022-04-11 18:16:15
159,Souillac,-20.5167,57.5167,77.38,83,40,11.5,MU,2022-04-11 18:20:39
160,Coahuayana,18.7333,-103.6833,91.22,42,42,7.43,MX,2022-04-11 18:20:39
