City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Ulladulla,AU,-35.35,150.4667,58.77,80,80,5.91,broken clouds
146,Mar Del Plata,AR,-38.0023,-57.5575,58.87,74,0,11.5,clear sky
147,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,85,75,12.66,broken clouds
148,Khani,GE,41.9563,42.9566,38.77,98,100,5.37,overcast clouds
149,Cape Town,ZA,-33.9258,18.4232,81.12,49,0,10.36,clear sky
150,Baykit,RU,61.67,96.37,18.64,90,74,3.51,broken clouds
151,Inhambane,MZ,-23.865,35.3833,87.78,62,20,6.91,few clouds
152,Punta Cardon,VE,11.6581,-70.215,80.06,75,98,26.71,overcast clouds
153,Cap-Haitien,HT,19.7578,-72.2042,78.75,65,20,6.91,few clouds
154,Todos Santos,MX,23.45,-110.2167,61.66,79,39,6.93,scattered clouds
155,Muhoroni,KE,-0.1541,35.1988,85.73,38,64,8.25,broken clouds
156,Arlit,NE,18.7369,7.3853,108.07,4,0,10.85,clear sky
157,Makungu,TZ,-8.7333,35.2833,70.41,81,96,4.74,light rain
158,Lazaro Cardenas,MX,17.9583,-102.2,73.11,83,100,4.63,overcast clouds
159,Souillac,MU,-20.5167,57.5167,79.18,78,40,13.8,light rain
160,Opuwo,NA,-18.0607,13.84,74.59,53,100,8.55,overcast clouds
161,Gruia,RO,44.2675,22.7047,61.79,32,5,14.81,clear sky
162,Ilulissat,GL,69.2167,-51.1,28.42,50,40,4.61,scattered clouds
163,Yellowknife,CA,62.456,-114.3525,-8.88,77,20,6.91,few clouds
164,Namibe,AO,-15.1961,12.1522,86.38,54,5,7.78,clear sky
165,San Patricio,US,28.017,-97.5169,75.88,93,42,13.11,scattered clouds
166,Butaritari,KI,3.0707,172.7902,80.64,78,13,11.03,light rain
167,Norman Wells,CA,65.282,-126.8329,-14.76,70,0,3.44,clear sky
168,Te Anau,NZ,-45.4167,167.7167,45.03,85,24,0.38,few clouds
169,Orlik,RU,52.5178,99.825,7.72,77,96,0.81,overcast clouds
170,Manoharpur,IN,27.3,75.95,95.54,11,100,8.1,overcast clouds
171,Cabo San Lucas,MX,22.8909,-109.9124,64.51,73,6,12.91,clear sky
172,Marabba,SD,12.35,32.1833,103.33,16,23,3.8,few clouds
173,Kytmanovo,RU,53.4593,85.4479,39.09,78,27,7.81,scattered clouds
174,Visnes,NO,59.3556,5.2242,50.38,42,0,8.05,clear sky
175,Yerbogachen,RU,61.2767,108.0108,18.3,95,12,2.33,few clouds
176,Mareeba,AU,-17.0,145.4333,74.12,89,57,3.02,broken clouds
177,Kailua,US,21.4022,-157.7394,75.18,84,16,4.0,few clouds
178,Kendari,ID,-3.945,122.4989,77.7,84,99,2.68,overcast clouds
179,Rawson,AR,-43.3002,-65.1023,52.03,59,24,20.47,few clouds
180,Beloha,MG,-25.1667,45.05,80.92,63,100,17.65,overcast clouds
181,Raudeberg,NO,61.9875,5.1352,45.27,64,100,4.85,overcast clouds
182,Nome,US,64.5011,-165.4064,33.87,69,100,5.75,overcast clouds
183,Hailar,CN,49.2,119.7,36.21,55,100,1.95,overcast clouds
184,Kamenka,RU,51.3223,42.7678,66.13,46,12,15.14,few clouds
185,Kavieng,PG,-2.5744,150.7967,82.36,72,7,9.44,clear sky
186,Calamar,CO,10.2511,-74.9146,85.62,55,100,9.26,overcast clouds
187,Gazli,UZ,40.1333,63.45,78.04,29,10,3.36,clear sky
188,Thompson,CA,55.7435,-97.8558,23.16,86,100,11.5,overcast clouds
189,Talnakh,RU,69.4865,88.3972,24.21,95,100,14.72,snow
190,Belmonte,BR,-15.8631,-38.8828,83.89,61,6,1.25,clear sky
191,Lakhipur,IN,26.0299,90.3041,82.49,64,93,3.18,overcast clouds
192,Faanui,PF,-16.4833,-151.75,81.3,74,8,15.86,light rain
193,Tomakivka,UA,47.8157,34.7414,39.87,91,100,22.12,overcast clouds
194,Ampanihy,MG,-24.7,44.75,90.39,35,100,10.69,overcast clouds
195,Boyolangu,ID,-8.1181,111.8935,76.64,84,86,1.77,overcast clouds
196,Koszalin,PL,54.1944,16.1722,49.77,45,100,3.22,overcast clouds
197,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,74,18.54,light rain
198,Guerrero Negro,MX,27.9769,-114.0611,59.95,76,95,16.98,overcast clouds
199,Bethel,US,41.3712,-73.414,51.21,85,100,5.99,light rain
200,Husavik,IS,66.0449,-17.3389,33.8,78,20,8.39,few clouds
201,High Level,CA,58.5169,-117.136,8.71,78,75,8.05,broken clouds
202,Tiksi,RU,71.6872,128.8694,-13.14,100,93,5.66,overcast clouds
203,Nikolskoye,RU,59.7035,30.7861,46.29,68,100,6.29,overcast clouds
204,Port-Gentil,GA,-0.7193,8.7815,81.48,79,18,10.0,few clouds
205,Hobyo,SO,5.3505,48.5268,85.86,63,100,12.53,overcast clouds
206,Takasaki,JP,36.3333,139.0167,65.3,48,30,2.62,scattered clouds
207,Dukat,RU,62.55,155.55,-16.28,100,100,3.91,overcast clouds
208,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,70,20,29.93,few clouds
209,Gwadar,PK,25.1216,62.3254,84.52,59,0,21.18,clear sky
210,Harper,LR,4.375,-7.7169,84.74,73,100,7.83,light rain
211,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,4.61,overcast clouds
212,Alice,US,27.7523,-98.0697,74.77,88,40,19.57,mist
213,Phan Thiet,VN,10.9333,108.1,78.28,85,96,2.46,overcast clouds
214,Atikokan,CA,48.7555,-91.6216,27.1,83,6,3.2,clear sky
215,Wattegama,LK,6.7989,81.4808,78.19,90,100,5.03,light rain
216,Naron,ES,43.5167,-8.1528,65.01,69,65,13.15,broken clouds
217,Antigonish,CA,45.6169,-61.9986,49.14,57,98,3.0,overcast clouds
218,Bredasdorp,ZA,-34.5322,20.0403,81.54,40,0,13.76,clear sky
219,Leningradskiy,RU,69.3833,178.4167,-17.41,97,100,4.63,overcast clouds
220,Awjilah,LY,29.1081,21.2869,75.72,19,10,8.95,clear sky
221,Touros,BR,-5.1989,-35.4608,85.46,59,100,11.14,overcast clouds
222,Point Pleasant,US,40.0832,-74.0682,53.94,70,100,11.5,overcast clouds
223,Westport,US,41.1415,-73.3579,53.56,86,100,8.05,light rain
224,Dinard,FR,48.6314,-2.0614,58.62,77,100,11.5,overcast clouds
225,Russell,US,32.3502,-85.1999,62.96,90,0,0.0,clear sky
226,Nizwa,OM,22.9333,57.5333,98.82,8,0,15.19,clear sky
227,Chapais,CA,49.7834,-74.8492,38.98,84,100,8.43,overcast clouds
228,Vigeland,NO,58.0844,7.305,44.42,70,100,12.86,overcast clouds
229,Kodiak,US,57.79,-152.4072,27.91,80,0,3.44,clear sky
230,Sorong,ID,-0.8833,131.25,81.54,76,100,4.03,light rain
231,Samarai,PG,-10.6167,150.6667,83.68,75,32,13.15,scattered clouds
232,Emerald,AU,-23.5333,148.1667,74.34,52,0,9.69,clear sky
233,Acapulco,MX,16.8634,-99.8901,75.02,83,75,0.0,broken clouds
234,Provideniya,RU,64.3833,-173.3,19.89,92,100,17.45,light snow
235,Misratah,LY,32.3754,15.0925,63.95,58,100,19.53,overcast clouds
236,Tazovskiy,RU,67.4667,78.7,34.86,100,100,13.27,light snow
237,Miri,MY,4.4148,114.0089,80.74,89,40,3.44,scattered clouds
238,Jeremie,HT,18.65,-74.1167,79.72,72,37,6.13,scattered clouds
239,Upernavik,GL,72.7868,-56.1549,12.27,94,100,10.11,light snow
240,Longyearbyen,SJ,78.2186,15.6401,15.64,67,75,5.75,broken clouds
241,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.35,53,20,18.41,few clouds
242,Ixtapa,MX,20.7,-105.2,72.23,94,75,2.3,broken clouds
243,Straseni,MD,47.1414,28.6103,56.43,31,100,18.52,overcast clouds
244,Malatya,TR,38.5,38.0,50.05,40,75,19.57,light rain
245,Sungaipenuh,ID,-2.0833,101.3833,67.05,97,99,1.41,overcast clouds
246,Thetford Mines,CA,46.0913,-71.3013,40.28,99,100,3.67,overcast clouds
247,Nemuro,JP,43.3236,145.575,36.82,97,100,7.09,overcast clouds
248,Handan,CN,36.6006,114.4678,56.57,37,100,5.86,overcast clouds
249,Chifeng,CN,42.2683,118.9636,44.87,20,83,6.51,broken clouds
250,Saint-Leu,RE,-21.15,55.2833,80.31,76,24,12.71,light rain
251,Ahuimanu,US,21.4447,-157.8378,74.91,82,75,8.05,broken clouds
252,Kontagora,NG,10.3999,5.4695,105.48,21,99,2.06,overcast clouds
253,Bonavista,CA,48.6499,-53.1147,31.98,92,100,34.52,overcast clouds
254,Constitucion,CL,-35.3333,-72.4167,55.38,57,100,5.95,overcast clouds
255,Pisco,PE,-13.7,-76.2167,66.25,77,0,5.75,mist
256,Loandjili,CG,-4.7561,11.8578,83.14,75,27,10.98,scattered clouds
257,San Fernando,PH,15.0286,120.6898,81.18,73,100,1.01,overcast clouds
258,Omboue,GA,-1.5746,9.2618,82.92,74,91,9.24,light rain
259,Linhares,BR,-19.3911,-40.0722,82.04,69,95,0.56,overcast clouds
260,Nanortalik,GL,60.1432,-45.2371,35.02,61,100,6.51,overcast clouds
261,Houston,US,29.7633,-95.3633,74.41,81,100,17.27,overcast clouds
262,Ambon,ID,-3.6954,128.1814,78.94,94,40,2.3,light rain
263,Hilo,US,19.7297,-155.09,72.28,93,100,8.05,mist
264,Asmara,ER,15.3333,38.9333,73.67,29,82,7.52,broken clouds
265,Potiskum,NG,11.7091,11.0694,103.14,19,90,7.87,overcast clouds
266,Mao,ES,39.8885,4.2658,63.16,77,20,16.11,few clouds
267,Wuwei,CN,37.9281,102.6414,49.78,21,75,4.29,broken clouds
268,Tautira,PF,-17.7333,-149.15,80.8,75,27,15.88,light rain
269,Brownwood,US,31.7093,-98.9912,71.6,77,100,11.5,overcast clouds
270,Cochrane,CA,51.1834,-114.4687,14.27,73,100,10.36,overcast clouds
271,Conakry,GN,9.538,-13.6773,89.67,35,20,9.22,few clouds
272,Carai,BR,-17.1889,-41.6947,75.56,72,97,2.68,overcast clouds
273,Bastia,FR,42.6667,9.3333,64.2,80,40,23.02,scattered clouds
